"","Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
"1",1,"DJX230915C00100000",228,252,1,24,0,0,2023-03-30 10:15:54,226.87,1.71191550292969,TRUE,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,FALSE,0.500005,0.55,2023-01-03 09:30:02,0,0,1,NA,0,0,"DJX230915P00130000"
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,FALSE,0.12500875,0.96,2023-07-06 13:04:11,0,0,0,5,0,0,"DJX230915P00250000"
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,FALSE,0.12500875,0.12,2023-07-26 15:13:52,0,0,0,1,0,0,"DJX230915P00255000"
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,FALSE,0.649417568359375,7,2022-11-08 12:34:35,0,0,5,3,7.65,2.38,"DJX230915P00260000"
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,FALSE,0.583866466064453,7.44,2022-11-08 12:55:51,0,0,1,NA,7.35,1.15,"DJX230915P00265000"
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,FALSE,0.12500875,0.24,2023-07-14 10:10:45,0,0,0,2,0,0,"DJX230915P00270000"
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,FALSE,0.12500875,0.2,2023-07-26 15:19:20,0,0,0,100,0,0,"DJX230915P00280000"
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,FALSE,0.474248421630859,2.75,2023-05-30 15:12:17,0,0,1,NA,4.8,0,"DJX230915P00285000"
"10",10,"DJX230915C00290000",0,0,10,0,0,0,2023-07-13 11:46:24,55.38,1e-05,TRUE,290,FALSE,0.062509375,0.31,2023-07-18 10:17:45,0,0,0,2,0,0,"DJX230915P00290000"
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,FALSE,0.234748863525391,4.75,2023-06-15 15:38:05,0,0,57,2,0.68,0.26,"DJX230915P00295000"
"12",12,"DJX230915C00300000",0,0,3,0,0,0,2023-07-25 16:05:00,55.73,1e-05,TRUE,300,FALSE,0.062509375,0.44,2023-07-26 15:13:52,0,0,0,9,0,0,"DJX230915P00300000"
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,FALSE,0.343512424316406,3.85,2023-05-26 15:47:35,0,0,3,1,4.8,0,"DJX230915P00305000"
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,FALSE,0.062509375,0.75,2023-07-18 14:32:25,0,0,0,1,0,0,"DJX230915P00310000"
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,FALSE,0.0312596875,2.4,2023-06-06 11:43:26,0,0,0,NA,0,0,"DJX230915P00315000"
"16",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,FALSE,0.0312596875,0.84,2023-07-25 12:54:11,0,0,0,1,0,0,"DJX230915P00320000"
"17",17,"DJX230915C00325000",18.45,28,4,0,0,0,2023-06-02 13:21:44,18.05,0.412176288452148,TRUE,325,FALSE,0.0312596875,0.9,2023-07-25 11:07:08,0,0,0,5,0,0,"DJX230915P00325000"
"18",18,"DJX230915C00330000",0,0,1,2,0,0,2023-05-16 10:10:58,15.65,1e-05,TRUE,330,FALSE,0.01563484375,1.43,2023-07-20 15:54:01,0,0,0,4,0,0,"DJX230915P00330000"
"19",19,"DJX230915C00335000",13.95,15.25,12,3,0,0,2023-06-15 15:50:19,16.45,0.264411652832031,TRUE,335,FALSE,0.0737702487182617,5.55,2023-06-20 14:39:39,0,0,18,8,2.12,1.52,"DJX230915P00335000"
"20",20,"DJX230915C00340000",0,0,3,0,0,0,2023-07-25 15:59:25,17.95,0.00196310546875,FALSE,340,TRUE,1e-05,2.02,2023-07-25 10:40:03,0,0,0,3,0,0,"DJX230915P00340000"
"21",21,"DJX230915C00345000",0,0,5,0,0,0,2023-07-26 14:46:48,14.6,0.01563484375,FALSE,345,TRUE,1e-05,2.39,2023-07-26 15:37:44,0,0,0,146,0,0,"DJX230915P00345000"
"22",22,"DJX230915C00350000",0,0,3,0,0,0,2023-07-26 14:39:01,10.3,0.01563484375,FALSE,350,TRUE,1e-05,3.55,2023-07-25 13:25:16,0,0,0,1,0,0,"DJX230915P00350000"
"23",23,"DJX230915C00355000",0,0,1,0,0,0,2023-07-26 14:39:01,6.8,0.0312596875,FALSE,355,TRUE,1e-05,4.5,2023-07-26 14:41:08,0,0,0,3,0,0,"DJX230915P00355000"
"24",24,"DJX230915C00360000",0,0,7,0,0,0,2023-07-26 15:45:59,3.5,0.0312596875,FALSE,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"DJX230915C00365000",0,0,600,0,0,0,2023-07-20 09:40:56,1.8,0.0312596875,FALSE,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"DJX230915C00370000",0,0,3,0,0,0,2023-07-26 11:16:45,0.85,0.062509375,FALSE,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"DJX230915C00380000",0,0,1,0,0,0,2023-05-19 16:07:33,1.68,0.062509375,FALSE,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,TRUE,1e-05,28.9,2023-07-26 15:59:45,0,0,0,1,0,0,"DJX230915P00385000"
"29",29,"DJX230915C00395000",0,0,1,0,0,0,2023-07-11 10:47:38,0.06,0.062509375,FALSE,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440,TRUE,0.808473594970703,88.25,2023-02-14 10:27:14,0,0,1,1,116.1,111.15,"DJX230915P00440000"
"31",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,TRUE,1e-05,151.2,2023-06-15 12:34:00,0,0,29,10,160,144,"DJX230915P00500000"
