call_last_pr_values,call_last_pr_values,call_last_pr_values,call_last_pr_values,call_last_pr_values,call_last_pr_values,call_last_pr_values,call_last_pr_values,call_last_pr_values,call_last_pr_values,call_last_pr_values,call_last_pr_values,call_last_pr_values,call_last_pr_values,call_last_pr_values
226.87,226.87,226.87,226.87,226.87,226.87,226.87,226.87,226.87,226.87,226.87,226.87,226.87,226.87,226.87
55.38,55.38,55.38,55.38,55.38,55.38,55.38,55.38,55.38,55.38,55.38,55.38,55.38,55.38,55.38
55,55,55,55,55,55,55,55,55,55.73,55.73,55.73,55.73,55.73,55.73
18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05
15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65
16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45
9.88,11.2,11.2,15.95,15.95,15.95,16.6,16.6,16.6,17.95,17.95,17.95,17.95,17.95,17.95
7.25,7.25,8.5,11.09,16.12,12.39,12.58,12.58,13.79,14.6,14.6,14.6,14.6,14.6,14.6
4.73,4.45,4.45,7.85,7.85,8.94,8.94,8.94,9.95,10.3,9.65,9.65,9.65,9.65,9.65
3.3,3.3,3.3,5,5,5.8,5.67,5.67,5.67,6.8,6.8,6.8,6.8,6.8,6.8
0.91,0.91,1.39,2.9,3.3,3.15,3.15,3.15,3.15,3.5,2.83,2.83,2.83,2.83,2.83
0.14,0.14,0.14,0.71,3.85,0.87,0.83,0.83,0.83,0.85,0.85,0.85,0.85,0.85,0.85
1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
