Date,"1 Mo","2 Mo","3 Mo","4 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
05/03/2023,4.70,5.33,5.26,5.25,5.08,4.70,3.89,3.58,3.37,3.37,3.38,3.79,3.70
05/02/2023,4.56,5.33,5.24,5.19,5.06,4.74,3.97,3.67,3.46,3.44,3.44,3.82,3.72
05/01/2023,4.49,5.17,5.27,5.22,5.14,4.86,4.14,3.85,3.64,3.62,3.59,3.95,3.84
04/28/2023,4.35,5.14,5.10,5.20,5.06,4.80,4.04,3.75,3.51,3.49,3.44,3.80,3.67
04/27/2023,4.27,5.13,5.18,5.21,5.05,4.78,4.07,3.82,3.60,3.57,3.53,3.88,3.76
04/26/2023,3.91,5.07,5.16,5.17,5.00,4.64,3.90,3.65,3.46,3.45,3.43,3.81,3.70
04/25/2023,4.11,5.05,5.12,5.11,4.98,4.60,3.86,3.62,3.43,3.42,3.40,3.77,3.65
04/24/2023,3.54,5.09,5.20,5.15,5.06,4.76,4.12,3.84,3.60,3.56,3.52,3.85,3.73
04/21/2023,3.36,4.98,5.14,5.19,5.07,4.78,4.17,3.89,3.66,3.62,3.57,3.90,3.78
04/20/2023,3.40,5.04,5.12,5.17,5.06,4.77,4.14,3.87,3.63,3.59,3.54,3.87,3.75
04/19/2023,3.95,5.03,5.16,5.22,5.10,4.84,4.24,3.97,3.71,3.66,3.60,3.90,3.79
04/18/2023,3.89,5.04,5.20,5.19,5.09,4.81,4.19,3.92,3.69,3.63,3.58,3.91,3.79
04/17/2023,4.09,5.04,5.21,5.24,5.07,4.80,4.18,3.92,3.69,3.64,3.60,3.92,3.81
04/14/2023,4.29,4.98,5.14,5.16,5.03,4.77,4.08,3.83,3.60,3.56,3.52,3.85,3.74
04/13/2023,4.08,4.96,5.10,5.10,4.95,4.66,3.96,3.70,3.51,3.48,3.45,3.80,3.69
04/12/2023,4.27,4.89,5.02,5.10,4.98,4.64,3.95,3.68,3.46,3.43,3.41,3.75,3.64
04/11/2023,4.27,4.89,5.04,5.06,4.99,4.67,4.03,3.76,3.54,3.48,3.43,3.75,3.62
04/10/2023,4.53,4.89,5.08,5.08,4.98,4.65,4.00,3.75,3.52,3.47,3.41,3.74,3.62
04/07/2023,4.56,4.90,4.95,5.07,4.95,4.61,3.97,3.72,3.49,3.45,3.39,3.73,3.61
04/06/2023,4.57,4.85,4.91,4.98,4.93,4.51,3.82,3.59,3.37,3.34,3.30,3.66,3.54
04/05/2023,4.62,4.77,4.86,4.90,4.82,4.43,3.79,3.55,3.36,3.34,3.30,3.67,3.56
04/04/2023,4.66,4.80,4.88,4.90,4.80,4.50,3.84,3.60,3.39,3.38,3.35,3.72,3.60
04/03/2023,4.70,4.79,4.90,4.98,4.88,4.60,3.97,3.73,3.52,3.48,3.43,3.78,3.64
03/31/2023,4.74,4.79,4.85,4.97,4.94,4.64,4.06,3.81,3.60,3.55,3.48,3.81,3.67
03/30/2023,4.74,4.77,4.97,4.94,4.92,4.63,4.10,3.87,3.66,3.61,3.55,3.88,3.74
03/29/2023,4.34,4.50,4.80,4.91,4.92,4.59,4.08,3.87,3.67,3.62,3.57,3.91,3.78
03/28/2023,4.24,4.39,4.80,4.86,4.90,4.55,4.02,3.84,3.63,3.60,3.55,3.90,3.77
03/27/2023,4.22,4.47,4.91,4.90,4.86,4.51,3.94,3.79,3.59,3.57,3.53,3.90,3.77
03/24/2023,4.28,4.48,4.74,4.78,4.76,4.32,3.76,3.58,3.41,3.40,3.38,3.77,3.64
03/23/2023,4.26,4.48,4.73,4.84,4.80,4.38,3.76,3.57,3.39,3.39,3.38,3.78,3.66
03/22/2023,4.16,4.56,4.79,4.91,4.95,4.56,3.96,3.76,3.54,3.53,3.48,3.83,3.68
03/21/2023,4.07,4.50,4.78,4.89,4.96,4.68,4.17,3.98,3.73,3.68,3.59,3.90,3.73
03/20/2023,4.34,4.56,4.81,4.84,4.80,4.34,3.92,3.77,3.56,3.55,3.47,3.83,3.65
03/17/2023,4.31,4.51,4.52,4.79,4.71,4.26,3.81,3.68,3.44,3.45,3.39,3.76,3.60
03/16/2023,4.22,4.66,4.74,4.92,4.94,4.49,4.14,3.99,3.72,3.67,3.56,3.87,3.71
03/15/2023,4.23,4.56,4.75,4.85,4.73,4.19,3.93,3.83,3.59,3.57,3.51,3.82,3.70
03/14/2023,4.47,4.77,4.88,4.95,4.93,4.45,4.20,4.05,3.78,3.74,3.64,3.91,3.77
03/13/2023,4.62,4.81,4.87,4.87,4.81,4.30,4.03,3.88,3.68,3.65,3.55,3.85,3.70
03/10/2023,4.81,4.91,5.01,5.08,5.17,4.90,4.60,4.31,3.96,3.86,3.70,3.90,3.70
03/09/2023,4.83,4.96,5.05,5.19,5.32,5.18,4.90,4.56,4.22,4.10,3.93,4.09,3.88
03/08/2023,4.77,4.88,5.06,5.21,5.34,5.25,5.05,4.71,4.34,4.19,3.98,4.11,3.88
03/07/2023,4.80,4.88,5.04,5.12,5.32,5.22,5.00,4.66,4.31,4.17,3.97,4.11,3.88
03/06/2023,4.75,4.79,4.93,5.02,5.22,5.05,4.89,4.61,4.27,4.16,3.98,4.14,3.92
03/03/2023,4.75,4.79,4.91,5.01,5.18,5.03,4.86,4.60,4.26,4.15,3.97,4.12,3.90
03/02/2023,4.75,4.80,4.91,5.02,5.18,5.04,4.89,4.63,4.32,4.24,4.08,4.24,4.03
03/01/2023,4.67,4.82,4.90,5.02,5.20,5.06,4.89,4.61,4.27,4.17,4.01,4.17,3.97
02/28/2023,4.65,4.81,4.88,5.00,5.17,5.02,4.81,4.51,4.18,4.07,3.92,4.10,3.93
02/27/2023,4.67,4.83,4.89,5.02,5.18,5.03,4.78,4.49,4.17,4.08,3.92,4.11,3.93
02/24/2023,4.68,4.83,4.86,5.02,5.06,5.05,4.78,4.52,4.19,4.10,3.95,4.11,3.93
02/23/2023,4.66,4.83,4.84,5.00,5.05,5.03,4.66,4.40,4.09,4.02,3.88,4.04,3.88
02/22/2023,4.62,4.81,4.84,5.00,5.08,5.07,4.66,4.43,4.13,4.07,3.93,4.09,3.94
02/21/2023,4.63,4.83,4.86,4.98,5.07,5.07,4.67,4.44,4.16,4.08,3.95,4.12,3.98
02/17/2023,4.64,4.81,4.84,4.95,4.99,5.00,4.60,4.33,4.03,3.95,3.82,4.01,3.88
02/16/2023,4.66,4.80,4.84,4.95,4.98,4.99,4.62,4.35,4.06,3.98,3.86,4.05,3.92
02/15/2023,4.64,4.79,4.79,4.94,4.97,4.96,4.62,4.35,4.04,3.94,3.81,3.97,3.85
02/14/2023,4.63,4.78,4.80,4.91,4.98,4.99,4.60,4.32,4.00,3.90,3.77,3.94,3.81
02/13/2023,4.66,4.78,4.81,4.90,4.99,4.91,4.52,4.22,3.93,3.84,3.72,3.92,3.79
02/10/2023,4.66,4.77,4.79,4.89,4.89,4.89,4.50,4.19,3.93,3.86,3.74,3.96,3.83
02/09/2023,4.66,4.77,4.77,4.87,4.90,4.88,4.48,4.15,3.87,3.79,3.67,3.90,3.75
02/08/2023,4.64,4.69,4.72,4.85,4.88,4.87,4.45,4.08,3.82,3.75,3.63,3.86,3.70
02/07/2023,4.62,4.68,4.71,4.80,4.89,4.88,4.47,4.11,3.85,3.78,3.67,3.87,3.72
02/06/2023,4.61,4.67,4.71,4.81,4.89,4.85,4.44,4.10,3.81,3.73,3.63,3.82,3.67
02/03/2023,4.61,4.67,4.70,4.80,4.82,4.79,4.30,3.96,3.67,3.61,3.53,3.77,3.63
02/02/2023,4.62,4.65,4.66,4.75,4.76,4.64,4.09,3.75,3.49,3.44,3.40,3.67,3.55
02/01/2023,4.59,4.63,4.66,4.77,4.79,4.66,4.09,3.75,3.48,3.43,3.39,3.67,3.55
01/31/2023,4.58,4.64,4.70,4.74,4.80,4.68,4.21,3.90,3.63,3.59,3.52,3.78,3.65
01/30/2023,4.60,4.64,4.72,4.76,4.82,4.71,4.25,3.96,3.68,3.62,3.55,3.79,3.66
01/27/2023,4.61,4.64,4.73,4.76,4.81,4.68,4.19,3.90,3.62,3.58,3.52,3.77,3.64
01/26/2023,4.61,4.65,4.71,4.76,4.79,4.68,4.17,3.88,3.58,3.54,3.49,3.75,3.62
01/25/2023,4.67,4.65,4.72,4.75,4.79,4.67,4.11,3.84,3.54,3.51,3.46,3.74,3.62
01/24/2023,4.70,4.67,4.72,4.75,4.84,4.70,4.12,3.86,3.58,3.52,3.46,3.73,3.62
01/23/2023,4.69,4.65,4.73,4.76,4.82,4.70,4.21,3.88,3.61,3.56,3.52,3.80,3.69
01/20/2023,4.69,4.64,4.72,4.75,4.80,4.68,4.14,3.83,3.56,3.51,3.48,3.77,3.66
01/19/2023,4.69,4.66,4.71,4.74,4.79,4.65,4.09,3.76,3.48,3.43,3.39,3.69,3.57
01/18/2023,4.59,4.62,4.69,4.74,4.79,4.63,4.06,3.72,3.43,3.40,3.37,3.65,3.54
01/17/2023,4.60,4.63,4.71,4.74,4.82,4.67,4.18,3.86,3.60,3.57,3.53,3.81,3.64
01/13/2023,4.58,4.59,4.67,4.73,4.77,4.69,4.22,3.88,3.60,3.55,3.49,3.79,3.61
01/12/2023,4.57,4.59,4.66,4.74,4.76,4.66,4.12,3.79,3.53,3.48,3.43,3.73,3.56
01/11/2023,4.42,4.62,4.72,4.82,4.84,4.73,4.20,3.90,3.66,3.61,3.54,3.84,3.67
01/10/2023,4.41,4.62,4.73,4.77,4.85,4.74,4.24,3.94,3.72,3.67,3.61,3.91,3.74
01/09/2023,4.37,4.58,4.70,4.74,4.83,4.69,4.19,3.93,3.66,3.60,3.53,3.83,3.66
01/06/2023,4.32,4.55,4.67,4.74,4.79,4.71,4.24,3.96,3.69,3.63,3.55,3.84,3.67
01/05/2023,4.30,4.55,4.66,4.75,4.81,4.78,4.45,4.18,3.90,3.82,3.71,3.96,3.78
01/04/2023,4.20,4.42,4.55,4.69,4.77,4.71,4.36,4.11,3.85,3.79,3.69,3.97,3.81
01/03/2023,4.17,4.42,4.53,4.70,4.77,4.72,4.40,4.18,3.94,3.89,3.79,4.06,3.88
