Cusip,SecurityType,Rate,MaturityDate,CallDate,Buy,Sell,EndOfDay,Date
912796Z93,MARKET BASED BILL,0.000000,2023-04-04,,0.000000,99.949556,99.987417,2023-03-31
912796YN3,MARKET BASED BILL,0.000000,2023-04-06,,0.000000,99.920167,99.959917,2023-03-31
912796CT4,MARKET BASED BILL,0.000000,2023-04-11,,99.860972,99.857000,99.894889,2023-03-31
912796YU7,MARKET BASED BILL,0.000000,2023-04-13,,99.839667,99.832806,99.871389,2023-03-31
912797LM7,MARKET BASED BILL,0.000000,2023-04-17,,99.783722,99.780889,99.819556,2023-03-31
912796CU1,MARKET BASED BILL,0.000000,2023-04-18,,99.780250,99.772000,99.802500,2023-03-31
912796V48,MARKET BASED BILL,0.000000,2023-04-20,,99.754167,99.746667,99.776167,2023-03-31
912796CV9,MARKET BASED BILL,0.000000,2023-04-25,,99.696528,99.689583,99.713389,2023-03-31
912796YV5,MARKET BASED BILL,0.000000,2023-04-27,,99.675250,99.667000,99.690000,2023-03-31
912796CW7,MARKET BASED BILL,0.000000,2023-05-02,,99.602667,99.593778,99.635083,2023-03-31
912796YW3,MARKET BASED BILL,0.000000,2023-05-04,,99.587278,99.577833,99.601306,2023-03-31
912797FD4,MARKET BASED BILL,0.000000,2023-05-09,,99.522792,99.511417,99.537000,2023-03-31
912796ZE2,MARKET BASED BILL,0.000000,2023-05-11,,99.497181,99.486361,99.508111,2023-03-31
912797FE2,MARKET BASED BILL,0.000000,2023-05-16,,99.428194,99.423722,99.444583,2023-03-31
912796W47,MARKET BASED BILL,0.000000,2023-05-18,,99.406667,99.390667,99.412500,2023-03-31
912797FF9,MARKET BASED BILL,0.000000,2023-05-23,,99.336764,99.327194,99.355556,2023-03-31
912796ZF9,MARKET BASED BILL,0.000000,2023-05-25,,99.301806,99.291111,99.318222,2023-03-31
912797FG7,MARKET BASED BILL,0.000000,2023-05-30,,99.241667,99.226667,99.257417,2023-03-31
912796ZG7,MARKET BASED BILL,0.000000,2023-06-01,,99.226722,99.214667,99.244472,2023-03-31
912797FM4,MARKET BASED BILL,0.000000,2023-06-06,,99.163431,99.156917,99.184000,2023-03-31
912796ZP7,MARKET BASED BILL,0.000000,2023-06-08,,99.131750,99.122167,99.151167,2023-03-31
912797FN2,MARKET BASED BILL,0.000000,2023-06-13,,99.066778,99.056500,99.086861,2023-03-31
912796X53,MARKET BASED BILL,0.000000,2023-06-15,,99.038389,99.022556,99.040861,2023-03-31
912797FP7,MARKET BASED BILL,0.000000,2023-06-20,,98.960500,98.944750,98.973000,2023-03-31
912796ZQ5,MARKET BASED BILL,0.000000,2023-06-22,,98.940597,98.930222,98.962222,2023-03-31
912797FQ5,MARKET BASED BILL,0.000000,2023-06-27,,98.873111,98.856000,98.897361,2023-03-31
912796ZR3,MARKET BASED BILL,0.000000,2023-06-29,,98.835000,98.825000,98.869000,2023-03-31
912797FR3,MARKET BASED BILL,0.000000,2023-07-05,,98.760000,98.741333,98.765167,2023-03-31
912796ZS1,MARKET BASED BILL,0.000000,2023-07-06,,98.752472,98.730917,98.770167,2023-03-31
912797FX0,MARKET BASED BILL,0.000000,2023-07-11,,98.679667,98.659833,98.696500,2023-03-31
912796XQ7,MARKET BASED BILL,0.000000,2023-07-13,,98.668222,98.630667,98.672972,2023-03-31
912797FY8,MARKET BASED BILL,0.000000,2023-07-18,,98.592083,98.576944,98.619056,2023-03-31
912796ZZ5,MARKET BASED BILL,0.000000,2023-07-20,,98.580125,98.560083,98.605000,2023-03-31
912797FZ5,MARKET BASED BILL,0.000000,2023-07-25,,98.498444,98.482333,98.515306,2023-03-31
912796Y29,MARKET BASED BILL,0.000000,2023-07-27,,98.488944,98.472556,98.492222,2023-03-31
912796Y37,MARKET BASED BILL,0.000000,2023-08-03,,98.378472,98.357639,98.386889,2023-03-31
912796XY0,MARKET BASED BILL,0.000000,2023-08-10,,98.313333,98.280333,98.294333,2023-03-31
912796Z36,MARKET BASED BILL,0.000000,2023-08-17,,98.200722,98.181417,98.201778,2023-03-31
912796Z44,MARKET BASED BILL,0.000000,2023-08-24,,98.110111,98.089833,98.101278,2023-03-31
912796Z51,MARKET BASED BILL,0.000000,2023-08-31,,98.025875,98.002500,98.029167,2023-03-31
912796YH6,MARKET BASED BILL,0.000000,2023-09-07,,97.926667,97.893333,97.950278,2023-03-31
912796CQ0,MARKET BASED BILL,0.000000,2023-09-14,,97.822042,97.810444,97.840667,2023-03-31
912796CR8,MARKET BASED BILL,0.000000,2023-09-21,,97.742833,97.728333,97.758000,2023-03-31
912796CS6,MARKET BASED BILL,0.000000,2023-09-28,,97.631917,97.621861,97.666222,2023-03-31
912796YJ2,MARKET BASED BILL,0.000000,2023-10-05,,97.621278,97.566444,97.589861,2023-03-31
912796YT0,MARKET BASED BILL,0.000000,2023-11-02,,97.354000,97.294000,97.302000,2023-03-31
912796ZD4,MARKET BASED BILL,0.000000,2023-11-30,,96.987278,96.922889,96.947333,2023-03-31
912796ZN2,MARKET BASED BILL,0.000000,2023-12-28,,96.773778,96.683111,96.749583,2023-03-31
912796ZY8,MARKET BASED BILL,0.000000,2024-01-25,,96.325000,96.258333,96.312250,2023-03-31
912796Z28,MARKET BASED BILL,0.000000,2024-02-22,,95.963778,95.890889,95.955556,2023-03-31
912797LL9,MARKET BASED BILL,0.000000,2024-03-21,,95.643944,95.609333,95.656139,2023-03-31
912828ZH6,MARKET BASED NOTE,0.002500,2023-04-15,,0.000000,99.843750,99.843750,2023-03-31
91282CBX8,MARKET BASED NOTE,0.001250,2023-04-30,,0.000000,99.656250,99.656250,2023-03-31
912828R28,MARKET BASED NOTE,0.016250,2023-04-30,,0.000000,99.750000,99.750000,2023-03-31
9128284L1,MARKET BASED NOTE,0.027500,2023-04-30,,0.000000,99.812500,99.812500,2023-03-31
